Index,Tag,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries
1579,Lion: 8529,IR-SAT Tag,72,3/2/2025 20:38,Every 2 hours,-3.520255°,38.257693°,(-),<10 meters,2 km/h,3.63 Volt,27°C,(-),Y,"[7027,-3735,12953]",N,0,Y,0
1580,Lion: 8528,IR-SAT Tag,72,3/2/2025 21:00,Every 2 hours,-3.660960°,38.248925°,(-),10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[3590,513,-15328]",N,0,N,2
1581,Lion: 8528,IR-SAT Tag,72,3/2/2025 21:00,Every 2 hours,-3.660902°,38.248980°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[5717,4267,14082]",N,0,Y,0
1582,Lion: 8531,IR-SAT Tag,72,3/2/2025 22:17,Every 2 hours,-3.613820°,38.106925°,(-),<10 meters,4 km/h,3.69 Volt,32°C,(-),Y,"[946,-2632,15382]",N,0,Y,0
1583,Lion: 8530,IR-SAT Tag,72,3/2/2025 22:32,Every 2 hours,-3.515727°,38.088420°,(-),<10 meters,0 km/h,3.65 Volt,34°C,(-),Y,"[-13597,-1051,7497]",N,0,N,2
1584,Lion: 8529,IR-SAT Tag,72,3/2/2025 22:39,Every 2 hours,-3.518545°,38.261487°,(-),<10 meters,0 km/h,3.64 Volt,34°C,(-),Y,"[7004,-7051,12138]",N,0,N,2
1585,Lion: 8531,IR-SAT Tag,72,3/3/2025 0:18,Every 2 hours,-3.613273°,38.106703°,(-),<10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[-1951,-7501,13502]",N,0,Y,0
1586,Lion: 8530,IR-SAT Tag,72,3/3/2025 0:32,Every 2 hours,-3.515827°,38.088415°,(-),10 meters,0 km/h,3.64 Volt,37°C,(-),Y,"[-12026,-2089,9683]",N,0,Y,1
1587,Lion: 8529,IR-SAT Tag,72,3/3/2025 0:39,Every 2 hours,-3.518287°,38.262058°,(-),10 meters,0 km/h,3.64 Volt,35°C,(-),Y,"[15828,3039,1527]",N,0,Y,0
1588,Lion: 8528,IR-SAT Tag,72,3/3/2025 1:00,Every 2 hours,-3.660650°,38.248730°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[9896,-5759,10740]",N,0,Y,1
1589,Lion: 8531,IR-SAT Tag,72,3/3/2025 2:18,Every 2 hours,-3.613255°,38.106720°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[5107,-6099,13769]",N,0,Y,0
1590,Lion: 8530,IR-SAT Tag,72,3/3/2025 2:33,Every 2 hours,-3.515815°,38.088442°,(-),<10 meters,0 km/h,3.65 Volt,40°C,(-),Y,"[-15234,-183,3993]",N,0,N,2
1591,Lion: 8529,IR-SAT Tag,72,3/3/2025 2:40,Every 2 hours,-3.518245°,38.262087°,(-),10 meters,0 km/h,3.64 Volt,36°C,(-),Y,"[9842,2169,12462]",N,0,Y,0
1592,Lion: 8528,IR-SAT Tag,72,3/3/2025 3:00,Every 2 hours,-3.660507°,38.248705°,(-),10 meters,0 km/h,3.69 Volt,45°C,(-),Y,"[-11683,2275,-10272]",N,0,N,2
1593,Lion: 8531,IR-SAT Tag,72,3/3/2025 4:19,Every 2 hours,-3.613317°,38.106713°,(-),<10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[-8130,6000,11943]",N,0,N,2
1594,Lion: 8530,IR-SAT Tag,72,3/3/2025 4:34,Every 2 hours,-3.515820°,38.088467°,(-),<10 meters,0 km/h,3.64 Volt,44°C,(-),Y,"[9872,-5864,11148]",N,0,Y,0
1595,Lion: 8529,IR-SAT Tag,72,3/3/2025 4:41,Every 2 hours,-3.518273°,38.262207°,(-),<10 meters,0 km/h,3.64 Volt,41°C,(-),Y,"[5962,-8547,11635]",N,0,N,2
1596,Lion: 8528,IR-SAT Tag,72,3/3/2025 5:00,Every 2 hours,-3.660520°,38.248723°,(-),<10 meters,0 km/h,3.69 Volt,45°C,(-),Y,"[-12906,2742,8494]",N,0,Y,0
1597,Lion: 8531,IR-SAT Tag,72,3/3/2025 6:19,Every 2 hours,-3.613312°,38.106717°,(-),10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[-15125,-357,3509]",N,0,Y,0
